text,label
RT @namn: Have well-behaved and extremely calm friends that I'd like to see get clean 😂,pos
RT @name: @name on stage as old? 😂😎 http://t.co/wrtpskNjXv,pos
❤❤ listen to my birth video if you want. The ultrasound missed my daughter's hand ❤❤ 😢😢 Everyone is born different 🙏🏻🙏🏻 COME IN AND LISTEN,neg
RT @name: ✊ F! 6.1% in STHLM Municipality http://t.co/iN8WtTXrON and 3.79% Nationally http://t.co/0OOYVPouGX Fight! #taplats @name #…,neu
@name Woohoo! Soon! 😁 What will it be? 😊,pos
Rest in peace John ❤️,pos
Please be informed that my exceptional skills on the football field will not be available at the BF Cup. Sorry @name and @name 😉,neu
"But hey, what is a popsicle? Haha 😂 I've been looking to death but can't find anyone who wrote it",neu
"@name @name
👻 #F!damn what #feminism's variants can come up with, or is it the #core squad? Was women's suffrage a mistake 👯",neg
Team Jonna... Easy😂,pos
Rest in peace 😢😢,neg
We're going there in about a month 😳,neu
he turned out nice but it actually looked like he lost some hair😀😊,pos
"So sad. :(
I was touched just by you talking about it in your podcast and now this video🥺
Good that people show respect.",neg
My old grandmother was protected by soldiers in Germany 🇩🇪😥😥,neg
@name @name 🙈🙉🙊 Keep dreaming Yesterday's hearing showed embarrassing ignorance even without Jimmy's questions: How did you arrive at those,neg
#teamjookiboi#😀😃😄😂,pos
Heard about this on P3 Documentary❤️😭Ugh so horrible!;(😭❤️,neu
@name ...and Tottenham symbolize Israel's occupation of Palestine. Ashamed! 😘,neg
"@name @name environmentally friendly ""mushroom"" gives many really criminal ""jobs"" CONGRATULATIONS Government, bunker up while you can, NEW ELECTION around the corner👻",neg
I think Bianca meant exactly what she said 😅,neu
"@name no, is she sick. 😔 Cry!",neg
"4.50 fights later it says ""a true live story Never ends"" 😂😂",pos
@namn and I who work at taxi Stockholm in the exchange 😂😂,pos
@name :( Heart ♥,pos
Growth♥Environment news: Climate meeting in Copenhagen on the way; new EU targets; government environmental investment dusty - http://t.co/WOou6oJ3SJ,neu
Oh I really love crystals. Have in all rooms. My favorite is amethyst 😍,pos
It was disgusting and funny when Jocke dipped his head in the toilet😊,pos
Love your videos never stop what you do!!❤😁,pos
28:57 hahaha 🤣,pos
dork and ginger doing duckface😎 http://t.co/NzLDxud1y7,neu
"""Real men rinse their hair in the toilet seat!"" 😂😂😂😂😂😂😂😂😂
/Astrid",pos
Organization?🤣 it's called organization anyway?😂,neg
@namn it doesn't work quite as well in English... 😊 @namn,neg
"@name I know😉
But seriously, totally.",neu
