author,published_at,updated_at,like_count,text
@MuratSercin-ki4nr,2024-04-17T08:12:28Z,2024-04-17T08:12:28Z,0,🚗 April 19 ko BMW X3 ka raffle! Can’t wait. Points save kare ya direct try karu?
@DeryaHuseyin-il1lv,2024-04-17T08:12:26Z,2024-04-17T08:12:26Z,0,"🎉 Diwali toh abhi se start ho gayi lagta hai! 4RABeT pe points mil gaye every match se, kisi ko kuch jeeta kya?"
@ismailVeysel,2024-04-17T08:12:24Z,2024-04-17T08:12:24Z,0,🗓️🎉 Har airing date pe kuch naya expect karna. 4RABT IPL lottery is gonna be epic!
@SuleymanHasim,2024-04-17T08:12:23Z,2024-04-17T08:12:23Z,0,"🎁💸 Gift Card Data Luxury, aur kya special mil sakta hai? 4ra ne curiosity badha di hai."
@izzettinResul,2024-04-17T08:12:22Z,2024-04-17T08:12:22Z,0,"⌚🧢 Watches aur March set toh hai hi, par kya aur bhi surprises in store hain?"
@AdilSerif-vp5mb,2024-04-17T08:12:21Z,2024-04-17T08:12:21Z,0,📱🌟 Samsung Galaxy winners ke liye kuch special hint mila kisi ko? 4RABT pe toh bawaal machega.
@EsraTaner-ce3vx,2024-04-17T08:12:20Z,2024-04-17T08:12:20Z,0,"🚗👀 BMW X3 ke alawa, kuch extra hone wala hai kya April 19 ko? Waiting eagerly."
@SaadetSeyfi,2024-04-17T08:12:18Z,2024-04-17T08:12:18Z,0,"🎰💡 Small bets, big wins ki strategy. Points accumulate karo, smartly play karo."
@MehtapMustafa-bi2mp,2024-04-17T08:12:17Z,2024-04-17T08:12:17Z,0,"🎈Maine toh apni favorite team pe already bet lagaya hai. Tum log bhi jaldi karo, points earn karo, rewards jeeto! 🤗"
@MelikeErcan-fq1jz,2024-04-17T08:12:16Z,2024-04-17T08:12:16Z,0,💰🎊 10 Lakh! Imagine karo kya scene hoga agar jeet gaye. 4RABT IPL lottery is the chance.
@SelcenHalime,2024-04-17T08:12:15Z,2024-04-17T08:12:15Z,0,"🗓️💖 Reminder hai, 19th April ko next draw. Time na gawao, 4 RABAT pe aaj hi register ho jao! 📆🎟️"
@IsilMuhammed,2024-04-17T08:12:13Z,2024-04-17T08:12:13Z,0,⌚👚 Hoping for a watch or a March set this time. 4RABT pe points ka magic.
@MehmetHuseyin-vl9eb,2024-04-17T08:12:12Z,2024-04-17T08:12:12Z,0,📱💥 Ek Samsung Galaxy toh banta hai! Points ka smart use crucial hai.
@isaErhan,2024-04-17T08:12:11Z,2024-04-17T08:12:11Z,0,"🤝💪 Dosto, tips share karo. Points se best kaise jeete? Waiting for your tricks!&quot;        &quot;🚀 Points se IPL lottery mein participate karna, best feeling ever! Diwali vibes in April."
@HalukNeslihan,2024-04-17T08:12:10Z,2024-04-17T08:12:10Z,0,"🔄🤔 Strategy banao, points badhao. 4RABT IPL lottery, let’s win big!"
@MuratMetin-fh5km,2024-04-17T08:12:09Z,2024-04-17T08:12:09Z,0,"🎉 Har match ke baad points check karna, ritual ban gaya hai. Excitement se bhara hai season."
@ilknurKenan,2024-04-17T08:12:08Z,2024-04-17T08:12:08Z,0,"🤑💰 10 Lakh ka prize, bhai log socho agar jeet gaye toh! Points here I come."
@AsliOmer-kz9hz,2024-04-17T08:12:06Z,2024-04-17T08:12:06Z,0,💳🎁 Gift Card Data Luxury aim kar raha hoon. Points enough honge kya?
@OnderZeynep,2024-04-17T08:12:05Z,2024-04-17T08:12:05Z,0,"⌚👕 Watch ya March set, IPL season making it super special. Thanks 4RABT!"
@MuratSercin-ki4nr,2024-04-17T08:12:03Z,2024-04-17T08:12:03Z,0,🚗 April 19 ko BMW X3 ka raffle! Can’t wait. Points save kare ya direct try karu?
@DeryaHuseyin-il1lv,2024-04-17T08:12:03Z,2024-04-17T08:12:03Z,0,"🎉 Diwali toh abhi se start ho gayi lagta hai! 4RABeT pe points mil gaye every match se, kisi ko kuch jeeta kya?"
@priyasinha6582,2024-04-14T03:19:09Z,2024-04-14T03:19:09Z,1,"<a href=""http://www.youtube.com/results?search_query=%23rcbforever"">#RCBForever</a> ❤️❤️❤️❤️"
@nagarajtidigol,2024-04-13T06:40:11Z,2024-04-13T06:40:11Z,0,Ban RCB🚫
@saymyname4400,2024-04-11T19:00:24Z,2024-04-11T19:00:24Z,2,This might be the only time they celebrate this season😂<br>Fuck RCB management
@rajatpradhan8346,2024-04-06T17:11:04Z,2024-04-06T17:11:04Z,1,Sala bating mai only kohli  baki pura flop
@ManojManu-kg3mg,2024-04-03T02:26:30Z,2024-04-03T02:26:30Z,0,Will jack in playing 11.❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥 Will jack in playing 11🥰🥰🥰Will jack in playing 11🥺🥺🥺Will jack in playing 11🔥🔥🔥Will jack in playing 11🎉💘💖Will jack in playing 11🎂🎉🎊Will jack in playing 11😍💘💖Will jack in playing 11🥰💝🎉Will jack in playing 11💗💓❣️Will jack in playing 11Will jack in playing 11🎇🎆Will jack in playing 11❣️🎇🎆Wil jack in playing 11❣️❣️💗Will jack in playing 11❣️💗❣️Wil jack in playing 11🎇🎆🔥Will jack in playing 11🎊🎉🎂Will jack in playing 11🎇🎆💖Will jack in playing 11❣️Will🤩🎇 jack in playing 11💗💓🥰Will jack in playing 11😍💘💖Will jack in playing 11🤩❣️💗Will jack in playing 11🤩🎇🎆Will jack in playing 11🎉🎊🥺Will jack in playing 11🥰💓💗Will jack in playing 11🎇🤩❣️Will jack in playing 11🤩🎇🎆Will jack in playing 11🎊🎉🎂Will jack in playing 11💝🥰💓Will jack in playing 11🥺😍💗Will jack in playing 11💗💓❣️Will jack in playing 11🤩❣️💗Will jack in playing 11💖🔥❣️Will jack in playing 11Will jack in playing 11💯😊😊Will jack in playing 11Will jack in playing 11🎊🎉🎂Will jack in playing 11🤩❣️💗Will jack in playing 11💯😍💘Will jack in playing 11🎇🎆🔥Will jack in playing 11Will jack in playing 11💗❣️🤩Will jack in playing 11🎇🔥🥰Will jack in playing 11Will jack in playing 11
@ShashiYadav-hz8ng,2024-04-01T17:33:35Z,2024-04-01T17:33:35Z,0,Remove alzari
@bubumaharana399,2024-03-31T09:25:35Z,2024-03-31T09:25:35Z,0,Loda lasan gana hai.... Csk ka suno kaan faad team song hai... We are the Chennai boys making all the noise every where we go.
@balaramofficial8296,2024-03-30T07:30:07Z,2024-03-30T07:30:07Z,0,Next match Alzari Dressing room 😂
@Crickettalksmalayalam18,2024-03-30T02:51:38Z,2024-03-30T02:51:38Z,0,"Moral of the yesterdays match - At the end of the day Only Virat will be there to rescue us , all the foreigners worth 50 Cr will ran away ( Faf, Cameron Green and Maxi)😅"
@Crickettalksmalayalam18,2024-03-30T02:49:40Z,2024-03-30T02:49:40Z,0,"I don&#39;t know the waste Alzarri , Yash and siraj was bowling at a speed of 145+ without any variation..They are fools they didn&#39;t understand from their mistakes..look at how Rusell and other kkr team bowled at120+ km in good length that&#39;s the length to be bowled in Chinnaswamy ❤"
@Crickettalksmalayalam18,2024-03-30T02:46:04Z,2024-03-30T02:46:04Z,0,Who all want to kick Alzarri Joseph💩 from our team and give chance to Topley/ Ferguson based on the condition of the pitch❤
@jerseyno.9,2024-03-29T17:17:17Z,2024-03-29T17:17:17Z,0,Aur Haan faf ko bolo koyi toh jab captain hi toh captain ki trhaa kon khelega kya fan log ko aake khelna padega...huttttt
@jerseyno.9,2024-03-29T17:13:32Z,2024-03-29T17:13:32Z,0,Rajat patidar ko filmo main try Karo bolna ground main style marne koi fayada nahi hai usko batado.
@anandkarkada1667,2024-03-29T17:04:11Z,2024-03-29T17:04:11Z,0,"RCB will be last this year worst batting and bowling performance against KKR ,,we thnx to RCB management for picking such good time please bann RCB next year"
@mraayush1881,2024-03-29T12:46:40Z,2024-03-29T12:46:40Z,0,Who is that only girl in the support staff? She is always there
@shafanazahid6586,2024-03-29T08:39:06Z,2024-03-29T08:39:06Z,0,Miyan bahiiii🎉🎉❤❤❤
@HarshYadav-kg5qe,2024-03-29T05:56:24Z,2024-03-29T05:56:24Z,0,The passion the players and support staffs have for franchise cricket is immense. The same cant be said about Internationa Cricket games nowadays.
@charan_611,2024-03-29T05:40:09Z,2024-03-29T05:44:53Z,1,1 like❤ and 1subscribe = 1run for virat kohli this ipl❤
@prasathprasath1330,2024-03-29T05:36:25Z,2024-03-29T05:36:25Z,0,"Pls opening will jacks <br>1.Faf<br>2.will jacks(impact)<br>3.vk<br>4.patidhar<br><a href=""http://5.green/"">5.green</a><br>6.Maxwell <br>7.A.rawat<br><a href=""http://8.dk/"">8.DK</a><br>9.Mayank Dagar<br>10.siraj<br>11.yash dayal<br> <br>12.topley(subsitude)"
@6769sk,2024-03-29T04:57:54Z,2024-03-29T04:57:54Z,0,Yash will be Indian cricket teams treasure in the future
@panwarvishal6150,2024-03-29T04:44:26Z,2024-03-29T04:44:26Z,0,"Please give a chance to will jacks, believe me he&#39;s phenomenal"
@TheManya123,2024-03-29T03:29:56Z,2024-03-29T03:29:56Z,1,"Jitni nautanki yeh RCB wale karte hain, uska 10% commitment bhi agar field pe dikhate to ab tak ek do saal trophy jeet hi jaate"
@martinjayaraj2161,2024-03-29T01:02:33Z,2024-03-29T01:02:33Z,0,"Csk, csk, csk"
@souravkumarmewara6522,2024-03-28T21:17:07Z,2024-03-28T21:17:07Z,0,I hope RCB ka ye upsc iss sal clear ho jaye🙂
@user-nm4bk6hj1v,2024-03-28T21:14:29Z,2024-03-28T21:14:29Z,0,We want lockie ferguson as a replacement of alzari joseph✅
