author,published_at,updated_at,like_count,text
@SundasKhalid,2024-02-23T16:13:08Z,2024-02-23T16:13:08Z,10,Thanks for watching! What else would you add to the list? 👀
@carolinaalvarez1775,2024-04-20T14:34:25Z,2024-04-20T14:34:25Z,0,Amazin advice! I agree! Im a Sr. Data analyst. I know sql and python but not a data scientist ready yet. I need to study more xD Please make more videos on how to get the first role as Data scientist.
@nikhilmuthukrishnan7222,2024-04-17T15:25:29Z,2024-04-17T15:25:57Z,0,Moving beyond regression? could be misleading no? might lead to shallow learning?
@Naturelover_24518,2024-04-17T06:08:19Z,2024-04-17T06:08:19Z,0,"hello mam, I&#39;m from India can you please the system requirements for laptop for data science?"
@TingBie,2024-04-15T22:51:39Z,2024-04-15T22:51:39Z,0,Brilliant! Thanks❤
@iheartsfgiants,2024-04-15T05:35:49Z,2024-04-15T05:35:49Z,0,About not being a data analyst before data scientist:  no is hiring young data scientist / junior data scientist. I have a lot of data scientist and ml coursework and some experience and I haven’t heard a single phone call in two years of applying :-(
@palepoint7092,2024-04-13T01:17:50Z,2024-04-13T01:17:50Z,0,"Stight up mistake , I haven&#39;t watched a single video about data science , I opend a video but jumped into this , so no your prediction in the beginning of the video is mistaken"
@jahanzebali589,2024-04-08T08:31:21Z,2024-04-08T08:31:21Z,0,"THANK YOU SO MUCH FOR AMAZING GUIDANCE! I REALLY ADMIRE YOUR WAY OF EXPLAINING WHEN YOU REPEAT THINGS FOR EMPHASIS AND SUMMARISING, THAT&#39;S A VERY PRO MOVE! THANKS A LOT!"
@menewme7698,2024-04-06T15:30:39Z,2024-04-06T15:30:39Z,0,"But I need a job first, help me to get"
@hithayathullah5200,2024-03-28T03:18:02Z,2024-03-28T03:18:02Z,0,"Hi Sundas,<br>Congratulations for presenting this useful video.<br>The suggestions are practical based on experience."
@yuvansaiaurora1292,2024-03-27T05:58:55Z,2024-03-27T05:58:55Z,0,"Great content!<br>It would be great if you could please share the interview process(if u experienced dsa round) at faang companies, including urs if possible"
@naimamohamud7905,2024-03-24T03:44:46Z,2024-03-24T03:44:46Z,0,thank you for nice ideas for data scienctist
@susan12242001,2024-03-22T19:58:38Z,2024-03-22T19:58:38Z,2,I don&#39;t have data science or computer science background. Can I still get a job as data scientist? I saw many companies put related degree as one of a requirement...
@khansaabdulghafoor1089,2024-03-17T03:38:56Z,2024-03-17T03:38:56Z,0,Excellent video 👍
@user-xk3ot7dy3s,2024-03-16T20:01:00Z,2024-03-16T20:01:00Z,0,"Dear Sundas I have been watching you for a long time, I research a lot and now decided to become a data scientist. But I don&#39;t have a tech background so is that suitable for me and Do I have to get a degree in it? By the way enjoy your videos."
@user-xk3ot7dy3s,2024-03-16T19:59:21Z,2024-03-16T19:59:21Z,0,"Dear Sundas I have been watching you for a long time, I research a lot and now decided to brcome a data scientist. But I don&#39;t have a tech background so is that suitable for me and Do I have to get a degree in it?"
@adithvas3586,2024-03-16T18:28:31Z,2024-03-16T18:29:14Z,1,"Well I am just going to finish my 12 in india PCM in india and stormed through various jobs and it picked my <a href=""http://interest.so/"">interest.So</a> my maths is 80% strong.I want to work in a company and reach a okay position and learn business stuff and start up a company<br>Please guide me and what to do"
@hunupitiyaamemes8803,2024-03-15T19:43:00Z,2024-03-15T19:43:00Z,0,"im basically  a software engineer, but undergraduate, i want to become a data scientist, i have a idea to do a bachlor degree in data science, waht is the good sources for self study?"
@vishalkumar-rq3qo,2024-03-13T06:10:27Z,2024-03-13T06:10:27Z,0,Could you make a video for prompt engineer?  How it’s related to data science?
@webmestermu,2024-03-12T10:11:58Z,2024-03-12T10:11:58Z,0,Thanks of this valueable video! But number 8 mistake is missing - so edit the title 10 to 9 as numerical correct ;)
@yashpreetkalra2649,2024-03-12T03:10:56Z,2024-03-12T03:10:56Z,2,"Hello Mam, I hope you are doing good! I need your guidance in choosing my career. Actually, I am an international student at Deakin University Melbourne Australia. I am doing a bachelor of computer science here majoring in data science. I don&#39;t have a previous maths background as I did my 11th and 12th in Commerce. So I wanted to that what kind of maths is required to become or step into the field of data science. I am following your YouTube channel and you posted the video for the same topic. But then I also I am bit confused. So can you please guide me with this."
@thandiwedlomo9971,2024-03-11T22:13:48Z,2024-03-11T22:13:48Z,0,"Hi everyone, I am from South Africa. Can I get someone to help me pay for the CareerFoundry Data Analyst course."
@BlendTubeMix,2024-03-09T10:02:51Z,2024-03-09T10:02:51Z,0,"I have few questions for you<br>1- company like google want master in data science? I am bca student and have relevant courses and skill to the data science is it ok with them? <br>2- as a online learner all the topic related to data science like nlp, deep learning are separated due to different online resources so where I can learn them. <br>3- I can&#39;t learn all because I am full time colledge student so what&#39;s are the mandatory topic nad tool that I have to learn"
@mikexiao37,2024-03-08T23:59:48Z,2024-03-08T23:59:48Z,1,This video is great and practical. You&#39;re a real data scientist who has been working at tech companies for many years. I&#39;m glad you share the real experience. Keep up the great work! Thanks!
@SatishPatil-nm1fw,2024-03-03T13:19:57Z,2024-03-03T13:19:57Z,0,"Hi Sundas, I can see you didn&#39;t replied to most comments still asking. I work as Business Analyst in software firm &amp; looking for opportunity with Google. Do you have any suggestions in it."
@VAIBHAVMALHOTRA19,2024-02-28T06:50:24Z,2024-02-28T06:50:24Z,0,Can you make a video about same topic but in Data Analytics
@amrapalisamanta5085,2024-02-28T06:26:55Z,2024-02-28T06:26:55Z,0,"Are Data Structure Leetcode questions asked in Coding(Python)  for data Science roles? Or should we focus only on data manipulation i.e. numpy, pandas etc."
@anandshaw-ie3qk,2024-02-28T03:29:54Z,2024-02-28T03:29:54Z,0,Can you make a portfolio for data scientist
@ottakuyuji,2024-02-26T15:15:01Z,2024-02-26T15:15:01Z,0,I am so sorry but just wanted to tell you ur name Sundas means shit in my language. 😮‍💨
@motivationalblogrameshpaul3005,2024-02-26T10:27:31Z,2024-02-26T10:27:31Z,0,lovely teacher   thanks
@sunilrskanda1588,2024-02-25T17:10:02Z,2024-02-25T17:10:02Z,19,"For Data Science enthusiasts, this is one of the best reality check videos to ensure you take care of yourself while learning and becoming a Data Scientist."
@Angelinajolieshorts,2024-02-25T10:00:21Z,2024-02-25T10:00:21Z,1,I am here after watching Codanics channel.
